timestamp,quantization_mode,use_tensor_cores,optimize_memory,metrics_enabled,graph_mode,compact_metric,ai_running,face_loading,objects_loading,drawing_metrics,drawing_graph,fps,cpu_percent,gpu_percent,inference_time_ms
2026-01-19T20:00:30.689,fp32,1,0,1,off,fps,0,0,0,1,0,21.21,26.9,0.0,964.4
2026-01-19T20:00:30.748,fp32,1,0,1,off,fps,0,0,0,1,0,20.55,26.9,0.0,34.0
2026-01-19T20:00:30.778,fp32,1,0,1,off,fps,0,0,0,1,0,20.29,26.9,0.0,14.3
2026-01-19T20:00:30.831,fp32,1,0,1,off,fps,0,0,0,1,0,19.76,26.9,0.0,37.0
2026-01-19T20:00:30.857,fp32,1,0,1,off,fps,0,0,0,1,0,19.65,26.9,0.0,9.6
2026-01-19T20:00:30.909,fp32,1,0,1,off,fps,0,0,0,1,0,19.29,26.9,0.0,42.0
2026-01-19T20:00:30.924,fp32,1,0,1,off,fps,0,0,0,1,0,19.22,26.9,0.0,15.6
2026-01-19T20:00:30.977,fp32,1,0,1,off,fps,0,0,0,1,0,18.77,26.9,0.0,36.3
2026-01-19T20:00:31.001,fp32,1,0,1,off,fps,0,0,0,1,0,18.58,26.9,0.0,6.6
2026-01-19T20:00:31.090,fp32,1,0,1,off,fps,0,0,0,1,0,17.8,26.9,0.0,72.3
2026-01-19T20:00:31.165,fp32,1,0,1,off,fps,0,0,0,1,0,17.14,18.4,0.0,62.1
2026-01-19T20:00:31.220,fp32,1,0,1,off,fps,0,0,0,1,0,16.74,18.4,0.0,31.3
2026-01-19T20:00:31.254,fp32,1,0,1,off,fps,0,0,0,1,0,16.54,18.4,0.0,8.5
2026-01-19T20:00:31.342,fp32,1,0,1,off,fps,0,0,0,1,0,15.85,18.4,0.0,72.5
2026-01-19T20:00:31.371,fp32,1,0,1,off,fps,0,0,0,1,0,16.17,18.4,0.0,5.5
2026-01-19T20:00:31.458,fp32,1,0,1,off,fps,0,0,0,1,0,15.58,18.4,0.0,70.3
2026-01-19T20:00:31.482,fp32,1,0,1,off,fps,0,0,0,1,0,15.48,18.4,0.0,6.0
2026-01-19T20:00:31.567,fp32,1,0,1,off,fps,0,0,0,1,0,14.91,18.4,0.0,71.7
2026-01-19T20:00:31.593,fp32,1,0,1,off,fps,0,0,0,1,0,14.81,18.4,0.0,9.6
2026-01-19T20:00:31.683,fp32,1,0,1,off,fps,0,0,0,1,0,14.29,18.4,0.0,75.8
2026-01-19T20:00:31.705,fp32,1,0,1,off,fps,0,0,0,1,0,14.25,18.4,0.0,9.9
2026-01-19T20:00:31.751,fp32,1,0,1,off,fps,0,0,0,1,0,14.01,18.4,0.0,46.8
2026-01-19T20:00:31.770,fp32,1,0,1,off,fps,0,0,0,1,0,13.99,18.4,0.0,12.2
2026-01-19T20:00:31.817,fp32,1,0,1,off,fps,0,0,0,1,0,13.79,18.4,0.0,46.1
2026-01-19T20:00:31.838,fp32,1,0,1,off,fps,0,0,0,1,0,13.73,18.4,0.0,7.4
2026-01-19T20:00:31.900,fp32,1,0,1,off,fps,0,0,0,1,0,13.44,18.4,0.0,50.4
2026-01-19T20:00:31.923,fp32,1,0,1,off,fps,0,0,0,1,0,13.38,18.4,0.0,6.3
2026-01-19T20:00:31.965,fp32,1,0,1,off,fps,0,0,0,1,0,13.22,18.4,0.0,42.6
2026-01-19T20:00:31.989,fp32,1,0,1,off,fps,0,0,0,1,0,13.18,18.4,0.0,14.2
2026-01-19T20:00:32.064,fp32,1,0,1,off,fps,0,0,0,1,0,21.82,18.4,0.0,74.6
2026-01-19T20:00:32.087,fp32,1,0,1,off,fps,0,0,0,1,0,22.41,18.4,0.0,14.0
2026-01-19T20:00:32.154,fp32,1,0,1,off,fps,0,0,0,1,0,21.8,18.4,0.0,67.7
2026-01-19T20:00:32.183,fp32,1,0,1,off,fps,0,0,0,1,0,22.19,18.4,0.0,12.7
2026-01-19T20:00:32.256,fp32,1,0,1,off,fps,0,0,0,1,0,21.44,18.4,0.0,60.2
2026-01-19T20:00:32.279,fp32,1,0,1,off,fps,0,0,0,1,0,21.9,18.4,0.0,11.4
2026-01-19T20:00:32.381,fp32,1,0,1,off,fps,0,0,0,1,0,20.6,5.1,0.0,101.9
2026-01-19T20:00:32.403,fp32,1,0,1,off,fps,0,0,0,1,0,21.03,5.1,0.0,6.7
2026-01-19T20:00:32.499,fp32,1,0,1,off,fps,0,0,0,1,0,20.03,5.1,0.0,79.2
2026-01-19T20:00:32.522,fp32,1,0,1,off,fps,0,0,0,1,0,20.95,5.1,0.0,7.5
2026-01-19T20:00:32.607,fp32,1,0,1,off,fps,0,0,0,1,0,20.8,5.1,0.0,69.5
2026-01-19T20:00:32.632,fp32,1,0,1,off,fps,0,0,0,1,0,21.25,5.1,0.0,6.6
2026-01-19T20:00:32.701,fp32,1,0,1,off,fps,0,0,0,1,0,20.73,5.1,0.0,52.2
2026-01-19T20:00:32.729,fp32,1,0,1,off,fps,0,0,0,1,0,21.63,5.1,0.0,7.7
2026-01-19T20:00:32.808,fp32,1,0,1,off,fps,0,0,0,1,0,20.88,5.1,0.0,63.0
2026-01-19T20:00:32.837,fp32,1,0,1,off,fps,0,0,0,1,0,21.75,5.1,0.0,6.9
2026-01-19T20:00:32.927,fp32,1,0,1,off,fps,0,0,0,1,0,20.72,5.1,0.0,74.3
2026-01-19T20:00:32.951,fp32,1,0,1,off,fps,0,0,0,1,0,21.68,5.1,0.0,7.3
2026-01-19T20:00:33.032,fp32,1,0,1,off,fps,0,0,0,1,0,20.85,5.1,0.0,64.1
2026-01-19T20:00:34.726,fp32,1,0,1,off,fps,1,0,0,1,0,9.86,5.1,0.0,1684.0
2026-01-19T20:00:34.824,fp32,1,0,1,off,fps,1,0,0,1,0,9.62,5.1,0.0,74.5
2026-01-19T20:00:34.882,fp32,1,0,1,off,fps,1,0,0,1,0,9.58,5.1,0.0,45.5
2026-01-19T20:00:34.955,fp32,1,0,1,off,fps,1,0,0,1,0,9.42,5.1,0.0,63.5
2026-01-19T20:00:35.017,fp32,1,0,1,off,fps,1,0,0,1,0,9.37,5.1,0.0,45.4
2026-01-19T20:00:35.091,fp32,1,0,1,off,fps,1,0,0,1,0,9.22,5.1,0.0,64.2
2026-01-19T20:00:35.144,fp32,1,0,1,off,fps,1,0,0,1,0,9.25,5.1,0.0,46.8
2026-01-19T20:00:35.229,fp32,1,0,1,off,fps,1,0,0,1,0,9.07,5.1,0.0,71.1
2026-01-19T20:00:35.299,fp32,1,0,1,off,fps,1,0,0,1,0,9.0,5.1,0.0,54.4
2026-01-19T20:00:35.380,fp32,1,0,1,off,fps,1,0,0,1,0,8.85,5.1,0.0,73.4
2026-01-19T20:00:35.444,fp32,1,0,1,off,fps,1,0,0,1,0,8.87,5.1,0.0,44.1
2026-01-19T20:00:35.521,fp32,1,0,1,off,fps,1,0,0,1,0,8.74,5.1,0.0,65.5
